Date,India,US,UK,China,Italy
16-04-2020,30095.51,2805.100098,5791.299805,2794.801025,17558.43
17-04-2020,31656.68,2795.639893,5597.700195,2826.662109,16719.07
18-04-2020,31656.68,2799.340088,5628.399902,2798.429932,16768.14
19-04-2020,31656.68,2842.429932,5628.399902,2835.558105,17055.47
20-04-2020,32056.19,2842.43,5628.399902,2835.558105,17055.47
21-04-2020,30836.19,2842.43,5787,2835.558105,17055.47
22-04-2020,30856.14,2845.620117,5812.799805,2840.408936,17064.14
23-04-2020,31646.45,2784.810059,5641,2842.237061,16450.85
24-04-2020,31426.62,2787.889893,5770.600098,2814.065918,16765.28
25-04-2020,31426.62,2810.419922,5826.600098,2850.51001,17011.11
26-04-2020,31426.62,2812.639893,5826.600098,2834.938965,16858.89
27-04-2020,31659.04,2812.64,5826.600098,2834.938965,16858.89
28-04-2020,32101.91,2812.64,5752.200195,2834.938965,16858.89
29-04-2020,32311.04,2854.649902,5846.799805,2812.241943,17380.21
30-04-2020,33381.19,2909.959961,5958.5,2819.990967,17677.15
